Category,Indicator,Variable,Units,Statistic,Scale
Study region information,Continent,Continent,,category,city
Study region information,Country,Country,,category,city
Study region information,2-letter country code,ISO 3166-1 alpha-2,,category,city
Study region information,Study region,study_region,,category,"city, grid"
Derived study region statistics,"Area (km²; accounting for urban restrictions, if applied)",Area (sqkm),km²,sum,city
Derived study region statistics,"Population estimate, as per configured population data source",Population estimate,persons,sum,city
Derived study region statistics,Population per km²,Population per sqkm,persons per km²,rate,city
Derived study region statistics,Intersection count (following consolidation based on intersection tolerance parameter in region configuration),Intersections,count,count,city
Derived study region statistics,Intersections per km²,Intersections per sqkm,count per km²,rate,city
Derived study region statistics,Area (km²),area_sqkm,km²,sum,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Derived study region statistics,"Population estimate, as per configured population data source",pop_est,persons,sum,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Derived study region statistics,Population per km²,pop_per_sqkm,persons per km²,rate,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Derived study region statistics,Intersection count (following consolidation based on intersection tolerance parameter in region configuration),intersection_count,count,count,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Derived study region statistics,Intersections per km²,intersections_per_sqkm,count per km²,rate,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Analytical statistics,Sample points used in this analysis (generated along pedestrian network for populated grid areas),urban_sample_point_count,count,count,"city, grid, custom: manzanas, custom: condesa_lotes"
Analytical statistics,Population grid cell identifier,grid_id,,category,"grid, sample point, sample point (walking), sample point (cycling)"
Analytical statistics,Sample point identifier,point_id,,category,"sample point, sample point (walking), sample point (cycling)"
Analytical statistics,Identifier of the network edge the sample point was generated along,edge_ogc_fid,,category,"sample point, sample point (walking), sample point (cycling)"
Analytical statistics,Count of population grid cells associated with this area,grid_count,count,count,"custom: agebs, custom: region_mexicali"
Analytical statistics,Feature identifier,ogc_fid,,category,"custom: condesa_lotes, custom: condesa_fraccionamientos"
Indicator estimates: access (walking),Percentage of population with access within 500 m of a fresh food market / supermarket (source: OpenStreetMap or custom data) (population weighted),pop_pct_access_500m_fresh_food_market_score,percent,percentage,"city, custom: agebs, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with access within 500 m of a convenience store (source: OpenStreetMap or custom data) (population weighted),pop_pct_access_500m_convenience_score,percent,percentage,"city, custom: agebs, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with access within 500 m of any public transport stop (source: OpenStreetMap or custom data) (population weighted),pop_pct_access_500m_pt_osm_any_score,percent,percentage,"city, custom: agebs, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with access within 500 m of any public open space (source: OpenStreetMap) (population weighted),pop_pct_access_500m_public_open_space_any_score,percent,percentage,"city, custom: agebs, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with access within 500 m of a public open space larger than 1.5 hectares (source: OpenStreetMap) (population weighted),pop_pct_access_500m_public_open_space_large_score,percent,percentage,"city, custom: agebs, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),"Percentage of population with access within 500 m of a large public green space of at least 1 hectare (source: OpenStreetMap, Google Earth Engine) (population weighted)",pop_pct_access_500m_large_public_green_space_score,percent,percentage,"city, custom: agebs, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with access within 500 m of any public transport stop (source: GTFS) (population weighted),pop_pct_access_500m_pt_gtfs_any_score,percent,percentage,"city, custom: agebs, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with access within 500 m of a public transport stop with average daytime weekday service frequency of 30 minutes or better (source: GTFS) (population weighted),pop_pct_access_500m_pt_gtfs_freq_30_score,percent,percentage,"city, custom: agebs, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with access within 500 m of a public transport stop with average daytime weekday service frequency of 20 minutes or better (source: GTFS) (population weighted),pop_pct_access_500m_pt_gtfs_freq_20_score,percent,percentage,"city, custom: agebs, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with access within 500 m of any public transport stop (best result of GTFS and OpenStreetMap/custom sources) (population weighted),pop_pct_access_500m_pt_any_score,percent,percentage,"city, custom: agebs, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Average distance (m) along the pedestrian network to the nearest fresh food market / supermarket (source: OpenStreetMap or custom data) (population weighted),pop_avg_walk_dist_fresh_food_market,metres,mean,city
Indicator estimates: access (walking),"Average distance (m) along the pedestrian network to the nearest fresh food market, supermarket or convenience store (pooled fresh food destinations) (population weighted)",pop_avg_walk_dist_fresh_food_pooled,metres,mean,city
