CVEGEO,pop_total,pop_65_plus,pct_65_plus
020020001736A,6096.0,120.0,1.97
0200200017355,498.0,15.0,3.01
0200200016893,2029.0,42.0,2.07
0200200012994,1202.0,70.0,5.82
0200200015132,1215.0,67.0,5.51
0200200017317,344.0,0.0,0.0
0200200014774,1947.0,147.0,7.55
0200200016910,539.0,7.0,1.3
0200200017285,206.0,3.0,1.46
0200200017092,1868.0,32.0,1.71
0200200017321,1811.0,30.0,1.66
0200200014399,685.0,103.0,15.04
0200200012439,3031.0,393.0,12.97
0200200014882,1710.0,110.0,6.43
0200200014825,1741.0,110.0,6.32
0200200015359,538.0,20.0,3.72
0200200014806,1394.0,225.0,16.14
0200200012496,1550.0,200.0,12.9
0200200014469,1213.0,180.0,14.84
0200200010095,1981.0,460.0,23.22
020020001490A,3009.0,161.0,5.35
0200200015823,606.0,23.0,3.8
0200200010574,3687.0,656.0,17.79
0200200012284,3715.0,466.0,12.54
0200200016658,3357.0,71.0,2.11
0200200012763,2604.0,658.0,25.27
0200200010381,2335.0,385.0,16.49
0200200012782,2787.0,478.0,17.15
0200200013155,2500.0,195.0,7.8
020020001476A,2659.0,310.0,11.66
0200200014967,1310.0,159.0,12.14
0200200016450,1836.0,99.0,5.39
0200200015984,4371.0,157.0,3.59
0200200010663,1201.0,145.0,12.07
0200200016465,2987.0,103.0,3.45
0200200016018,4443.0,142.0,3.2
0200200014651,2772.0,564.0,20.35
0200200014492,1594.0,301.0,18.88
0200200010432,1155.0,156.0,13.51
0200200014789,2098.0,191.0,9.1
0200200014933,799.0,67.0,8.39
0200200014609,2127.0,451.0,21.2
0200200016179,3793.0,70.0,1.85
0200200016130,40.0,3.0,7.5
0200200014971,361.0,42.0,11.63
0200200015880,794.0,17.0,2.14
0200200015857,3783.0,117.0,3.09
0200200014488,1098.0,174.0,15.85
0200200017001,1358.0,0.0,0.0
020020001444A,2134.0,399.0,18.7
0200200015518,1954.0,94.0,4.81
0200200010521,2147.0,548.0,25.52
0200200014717,2985.0,532.0,17.82
0200200016183,4742.0,73.0,1.54
0200200010339,3113.0,610.0,19.6
0200200015024,1383.0,257.0,18.58
0200200010377,2613.0,362.0,13.85
0200200012392,876.0,60.0,6.85
0200200014543,1659.0,249.0,15.01
0200200016323,1275.0,72.0,5.65
0200200014596,1550.0,327.0,21.1
0200200010305,1531.0,195.0,12.74
0200200014327,2551.0,293.0,11.49
0200200016215,2613.0,150.0,5.74
0200200014721,1950.0,275.0,14.1
0200200014755,2192.0,224.0,10.22
0200200014416,1917.0,386.0,20.14
0200200013827,883.0,84.0,9.51
0200200014581,1292.0,229.0,17.72
0200200012852,2483.0,283.0,11.4
0200200016554,1111.0,33.0,2.97
0200200016075,5287.0,83.0,1.57
0200200015560,4632.0,168.0,3.63
0200200015151,2133.0,156.0,7.31
0200200010413,2630.0,213.0,8.1
0200200012513,2638.0,287.0,10.88
0200200015325,5668.0,126.0,2.22
0200200012299,3850.0,477.0,12.39
0200200015128,907.0,86.0,9.48
0200200014793,2411.0,368.0,15.26
0200200012759,1665.0,381.0,22.88
0200200017069,4372.0,69.0,1.58
0200200017529,257.0,22.0,8.56
0200200012871,2750.0,501.0,18.22
0200200013174,985.0,51.0,5.18
020020001241A,4852.0,304.0,6.27
0200200012424,4162.0,421.0,10.12
0200200016342,87.0,6.0,6.9
0200200017711,1935.0,20.0,1.03
0200200017054,3620.0,61.0,1.69
0200200013009,1344.0,74.0,5.51
020020001743A,1818.0,12.0,0.66
0200200012443,4048.0,368.0,9.09
0200200016588,3258.0,43.0,1.32
0200200014257,2141.0,413.0,19.29
0200200017162,1390.0,16.0,1.15
0200200014384,619.0,88.0,14.22
020020001017A,1900.0,289.0,15.21
020020001693A,12.0,0.0,0.0
0200200014948,1376.0,127.0,9.23
0200200014172,1145.0,173.0,15.11
0200200014859,2404.0,306.0,12.73
0200200015471,2550.0,102.0,4.0
0200200018122,395.0,0.0,0.0
0200200016944,1810.0,32.0,1.77
0200200016376,462.0,7.0,1.52
0200200018211,181.0,0.0,0.0
0200200014986,518.0,55.0,10.62
0200200016003,3312.0,76.0,2.29
0200200012778,1799.0,430.0,23.9
0200200014613,1414.0,258.0,18.25
0200200014632,1950.0,375.0,19.23
0200200014242,967.0,181.0,18.72
0200200014083,3559.0,169.0,4.75
0200200016997,2093.0,31.0,1.48
0200200014331,1908.0,241.0,12.63
0200200015876,42.0,0.0,0.0
0200200010042,1293.0,198.0,15.31
0200200016592,3310.0,60.0,1.81
0200200012477,0.0,0.0,
0200200010517,2345.0,411.0,17.53
0200200015772,719.0,90.0,12.52
0200200017660,0.0,0.0,
0200200015999,3423.0,114.0,3.33
0200200017228,259.0,0.0,0.0
0200200014420,1745.0,390.0,22.35
0200200012320,2983.0,215.0,7.21
0200200016380,761.0,23.0,3.02
0200200016639,2512.0,43.0,1.71
0200200015541,2596.0,109.0,4.2
0200200016304,34.0,0.0,0.0
0200200016338,486.0,36.0,7.41
0200200014346,1655.0,185.0,11.18
0200200010184,3251.0,442.0,13.6
0200200016200,3264.0,333.0,10.2
0200200014308,2823.0,426.0,15.09
0200200014914,2645.0,242.0,9.15
0200200016291,523.0,17.0,3.25
0200200015289,2465.0,80.0,3.25
0200200016605,4211.0,92.0,2.18
0200200016747,2707.0,285.0,10.53
0200200010273,3037.0,511.0,16.83
0200200010165,2048.0,324.0,15.82
0200200016982,2267.0,46.0,2.03
0200200012848,2631.0,278.0,10.57
0200200017779,1060.0,0.0,0.0
020020001775A,57.0,0.0,0.0
0200200014897,3088.0,170.0,5.51
0200200017571,575.0,15.0,2.61
0200200014628,2289.0,294.0,12.84
0200200016287,46.0,8.0,17.39
0200200016906,3497.0,36.0,1.03
0200200016361,682.0,17.0,2.49
0200200014810,1851.0,135.0,7.29
020020001654A,2479.0,37.0,1.49
0200200010555,4055.0,694.0,17.11
0200200012532,5570.0,388.0,6.97
0200200013140,3476.0,306.0,8.8
0200200015698,4130.0,122.0,2.95
0200200016677,1398.0,26.0,1.86
0200200017251,2949.0,49.0,1.66
0200200014844,1775.0,279.0,15.72
0200200015787,3437.0,215.0,6.26
0200200014435,2224.0,430.0,19.33
0200200015522,1728.0,103.0,5.96
0200200016022,4637.0,100.0,2.16
0200200016624,2992.0,47.0,1.57
020020001597A,3660.0,48.0,1.31
020020001273A,4433.0,278.0,6.27
0200200017603,269.0,14.0,5.2
0200200010540,2913.0,552.0,18.95
020020001483A,1457.0,73.0,5.01
0200200015166,2353.0,122.0,5.18
0200200015611,213.0,0.0,0.0
0200200016681,2835.0,54.0,1.9
0200200015842,2515.0,60.0,2.39
020020001469A,1966.0,268.0,13.63
020020001686A,50.0,0.0,0.0
0200200010362,2546.0,484.0,19.01
0200200015838,2097.0,50.0,2.38
0200200016060,3908.0,75.0,1.92
0200200013969,3137.0,32.0,1.02
0200200014740,6175.0,375.0,6.07
0200200014558,3234.0,329.0,10.17
020020001316A,2708.0,171.0,6.31
0200200014280,2124.0,381.0,17.94
0200200015594,5091.0,192.0,3.77
020020001501A,1138.0,222.0,19.51
0200200016732,2744.0,27.0,0.98
0200200014666,1901.0,374.0,19.67
020020001558A,114.0,3.0,2.63
0200200018283,0.0,0.0,
0200200013189,1000.0,23.0,2.3
0200200014562,2513.0,200.0,7.96
0200200016770,3422.0,85.0,2.48
020020001565A,439.0,11.0,2.51
0200200014276,1811.0,320.0,17.67
0200200014929,2805.0,193.0,6.88
0200200014702,2735.0,405.0,14.81
0200200017073,5362.0,69.0,1.29
020020001661A,4635.0,89.0,1.92
0200200016751,1821.0,47.0,2.58
0200200010292,1643.0,146.0,8.89
0200200015537,1673.0,82.0,4.9
0200200018264,0.0,0.0,
0200200015768,830.0,114.0,13.73
0200200017425,1536.0,14.0,0.91
0200200015486,348.0,8.0,2.3
0200200017105,2109.0,57.0,2.7
0200200014473,1362.0,142.0,10.43
