measure,core_measure,domains,owner,sub_variable_id,sub_variable,relation,direction,variable,produced,description,units,statistic,scale,notes
2,Global Urban Heat Vulnerability Index (GUHVI),Ambient environment,Carl,382,Heat exposure,direct,lower_is_better,urban_heat_exposure_index,True,"Heat Exposure Index (HEI): the heat exposure sub-index, derived from land surface temperature",index 0-1,mean,"city, grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
2,Global Urban Heat Vulnerability Index (GUHVI),Ambient environment,Carl,382,Heat exposure,direct,lower_is_better,urban_heat_land_surface_temp_c,True,"Land surface temperature (°C): the temperature of the Earth’s surface, indicating the lived experience of heat (Landsat 8 surface reflectance, hottest third of the year)",degrees Celsius,mean,"city, grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
2,Global Urban Heat Vulnerability Index (GUHVI),Ambient environment,Carl,,Heat sensitivity,direct,lower_is_better,urban_heat_sensitivity_index,True,"Heat Sensitivity Index (HSI): the equally weighted heat sensitivity sub-index of land surface albedo, NDVI, NDBI, local climate zone, population density and vulnerable population",index 0-1,mean,"city, grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
2,Global Urban Heat Vulnerability Index (GUHVI),Ambient environment,Carl,,Heat sensitivity,direct,lower_is_better,urban_heat_land_surface_albedo,True,"Land surface albedo: solar reflectance, where higher reflectance implies less surface heat retention (inverted, so that higher values indicate greater heat vulnerability)",proportion 0-1,mean,"city, grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
2,Global Urban Heat Vulnerability Index (GUHVI),Ambient environment,Carl,,Heat sensitivity,direct,lower_is_better,urban_heat_ndvi,True,"Normalised Difference Vegetation Index (NDVI): a spectral index of vegetation health and greenness (inverted, so that higher values indicate greater heat vulnerability)",index -1 to 1,mean,"city, grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
2,Global Urban Heat Vulnerability Index (GUHVI),Ambient environment,Carl,,Heat sensitivity,direct,lower_is_better,urban_heat_local_climate_zone_ordered,True,"Local Climate Zone: a standardised classification of land cover typologies for urban heat island studies, ordered from least heat retaining (water) to most heat retaining (bare rock or paved)",ordered class,category,"city, grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
2,Global Urban Heat Vulnerability Index (GUHVI),Ambient environment,Carl,,Heat sensitivity,direct,lower_is_better,urban_heat_population_density_per_sqkm,True,"Population density (persons per km²), from the GHS-POP global human settlement population grid",persons per km²,mean,"city, grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
2,Global Urban Heat Vulnerability Index (GUHVI),Ambient environment,Carl,,Heat sensitivity,direct,lower_is_better,urban_heat_vulnerable_pop_pct,True,"Vulnerable population (%): those most at risk from heat on the basis of age, being the combined proportion of the population aged 0–4 and 65+ years",percent,percentage,"city, grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
2,Global Urban Heat Vulnerability Index (GUHVI),Ambient environment,Carl,,Adaptive capability,direct,higher_is_better,urban_heat_adaptive_capability_index,True,"Adaptive Capability Index (ACI): the equally weighted adaptive capability sub-index of child dependency ratio, subnational Human Development Index and infant mortality rate; higher values indicate lower adaptive capability",index 0-1,mean,"city, grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
2,Global Urban Heat Vulnerability Index (GUHVI),Ambient environment,Carl,,Adaptive capability,direct,higher_is_better,urban_heat_child_dependency_ratio,True,"Child dependency ratio: children (aged 0–14 years) relative to the working age population (15–64 years), indicating economic reliance",ratio,mean,"city, grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa",
